Date,Open,High,Low,Close*,Adj Close**,Volume
10/5/2021,122.97,123.4,122.5,122.82,122.82,"4,647"
10/4/2021,120.93,122.97,120.53,122.63,122.63,"4,647"
10/1/2021,121,121.65,120.25,120.4,120.4,"6,496"
9/30/2021,121.9,122.28,120.35,120.57,120.57,"9,512"
9/29/2021,122,122.7,121.2,121.78,121.78,"9,176"
9/28/2021,122.4,122.47,121.82,122,122,"7,157"
9/27/2021,122.7,123.8,122.1,122.4,122.4,"8,878"
9/24/2021,123.3,123.32,122.6,122.93,122.93,"6,581"
9/23/2021,123.4,123.93,123.03,123.22,123.22,"6,940"
9/22/2021,122.88,123.45,122.7,123.28,123.28,"7,462"
9/21/2021,123.2,123.6,122.35,122.45,122.45,"7,894"
9/20/2021,122.38,122.95,121.8,122.78,122.78,"9,248"
9/17/2021,123.5,123.5,122.53,122.8,122.8,"10,741"
9/16/2021,124.07,124.22,123.3,123.6,123.6,"10,603"
9/15/2021,124.4,124.53,123.53,124.18,124.18,"15,057"
9/14/2021,122.8,125.05,122.68,124.13,124.13,"34,186"
9/13/2021,121.97,123.68,120.85,122.28,122.28,"36,894"
9/10/2021,123.82,124.32,123.03,123.43,123.43,"28,538"
9/9/2021,123.4,124.45,123.1,123.75,123.75,"32,087"
9/8/2021,124,124.55,123.03,123.1,123.1,"40,793"
9/7/2021,125.68,125.75,123.68,123.75,123.75,"28,612"
9/3/2021,126.43,126.6,124.63,124.8,124.8,"29,150"
9/2/2021,127.47,128.02,125.88,126.05,126.05,"24,313"
9/1/2021,126.93,128.18,126.53,127.57,127.57,"30,567"
8/31/2021,121.88,123,118.7,118.95,118.95,"33,017"
8/30/2021,123.6,123.6,120.1,120.25,120.25,279
8/27/2021,123.15,123.4,120.18,122,122,719
8/26/2021,124.25,124.28,123.05,123.28,123.28,"1,822"
8/25/2021,126,126.15,124.3,124.43,124.43,"1,016"
8/24/2021,126.97,127.47,125.7,125.8,125.8,"2,156"
8/23/2021,124.3,127.18,124.3,126.45,126.45,"1,748"
8/20/2021,123.4,124.38,123.3,124.28,124.28,"1,756"
8/19/2021,123.6,123.75,123.05,123.4,123.4,"4,598"
8/18/2021,123.3,124.22,123.15,124.03,124.03,"3,547"
8/17/2021,123.7,124.1,123.22,123.3,123.3,"1,400"
8/16/2021,123.1,123.68,122.43,123.53,123.53,"2,096"
8/13/2021,123.28,123.45,122.63,122.75,122.75,"2,516"
8/12/2021,122.72,123.43,122.45,123.15,123.15,"6,207"
8/11/2021,123.5,123.57,122.78,122.95,122.95,"4,304"
8/10/2021,123.3,124.8,123.03,123.65,123.65,"3,907"
8/9/2021,123.2,123.35,122.65,123,123,"4,001"
8/6/2021,122.6,123.05,121.3,123,123,"9,960"
8/5/2021,124.07,124.3,122.5,122.57,122.57,"9,285"
8/4/2021,123.4,124.63,123.05,124.05,124.05,"10,806"
8/3/2021,122.18,123.5,122.15,123.25,123.25,"7,861"
8/2/2021,122.32,122.65,121.95,122.13,122.13,"6,004"
7/30/2021,122.75,122.75,122,122.07,122.07,"7,897"
7/29/2021,123.22,123.53,122.43,122.5,122.5,"8,304"
7/28/2021,122.95,123.68,122.85,123.07,123.07,"6,489"
7/27/2021,123.22,123.97,122.68,122.93,122.93,"10,302"
7/26/2021,121.75,123.5,121.63,123.45,123.45,"9,321"
7/23/2021,121.15,121.7,120.57,121.5,121.5,"8,280"
7/22/2021,120.18,121.43,120.13,120.8,120.8,"9,970"
7/21/2021,119.82,120.47,119.47,120.05,120.05,"13,125"
7/20/2021,120.15,120.57,119.68,119.78,119.78,"11,311"
7/19/2021,120.1,120.32,119.2,120.25,120.25,"20,125"
7/16/2021,121.28,121.6,120.13,120.18,120.18,"13,785"
7/15/2021,121.4,121.65,120.78,121.13,121.13,"15,109"
7/14/2021,122,122.6,121.18,121.25,121.25,"32,725"
7/13/2021,120.03,122.45,119.82,121.75,121.75,"40,489"
7/12/2021,119.43,120.35,119,119.82,119.82,"31,521"
7/9/2021,119.32,119.8,118.85,119.22,119.22,"29,839"
7/8/2021,120.5,120.68,119.18,119.28,119.28,"34,153"
7/7/2021,122.32,122.43,119.82,120.6,120.6,"27,664"
7/6/2021,121.8,122.47,121.15,122.4,122.4,"20,810"
7/2/2021,123.25,124,121.75,122,122,"20,913"
7/1/2021,122.7,124.32,121.5,123.57,123.57,"27,475"
6/30/2021,122.75,123.3,121.9,122.5,122.5,"25,193"
6/29/2021,122.13,122.6,121.3,122.55,122.55,839
6/28/2021,123.1,123.3,121.7,122.1,122.1,739
6/25/2021,122.85,123.03,121.97,122.82,122.82,449
6/24/2021,122.5,123.1,121.75,122.82,122.82,601
6/23/2021,123.75,124.22,122.05,122.5,122.5,800
6/22/2021,121.35,124.22,121.35,123.1,123.1,"1,333"
6/21/2021,120.95,121.25,120.18,120.97,120.97,"1,099"
6/18/2021,121.25,121.95,120.93,121.05,121.05,"1,160"
6/17/2021,122.22,123.1,120,120.1,120.1,"2,076"
6/16/2021,121.6,122.75,121.6,122.3,122.3,"1,578"
6/15/2021,119.5,121.38,119.5,121.22,121.22,"3,038"
6/14/2021,118.8,119.65,118.7,119.38,119.38,"1,482"
6/11/2021,117.7,119.1,117.7,118.7,118.7,"1,783"
6/10/2021,117.5,117.88,117.32,117.57,117.57,850
6/9/2021,117,117.5,116.43,117.4,117.4,"2,090"
6/8/2021,116.7,117.1,116.05,116.72,116.72,"2,958"
6/7/2021,116.7,116.75,116,116.22,116.22,"4,973"
6/4/2021,116.78,117.25,116.35,116.82,116.82,"5,136"
6/3/2021,117.05,117.38,116.7,116.78,116.78,"4,994"
6/2/2021,115.13,117.38,114.7,117.13,117.13,"9,402"
6/1/2021,112.95,114.85,111.47,113.55,113.55,"14,011"
5/28/2021,116.55,116.7,115.82,115.88,115.88,"6,247"
5/27/2021,116.45,117.1,116.28,116.35,116.35,"6,119"
5/26/2021,117,117.5,116.07,116.45,116.45,"8,799"
5/25/2021,117.1,117.75,116.43,116.72,116.72,"7,314"
5/24/2021,117.25,117.38,116.5,116.75,116.75,"6,117"
5/21/2021,116.7,117.8,116.5,117.68,117.68,"8,732"
5/20/2021,117.15,117.4,115.7,116.6,116.6,"10,896"
5/19/2021,116.25,117.47,116.1,116.9,116.9,"10,797"
5/18/2021,116,117.22,116,116.75,116.75,"12,991"
5/17/2021,115.32,116.15,114.82,115.35,115.35,"16,713"
5/14/2021,115.75,116.32,115.07,115.3,115.3,"20,402"
5/13/2021,118.25,118.68,114.7,115.6,115.6,"40,404"
5/12/2021,118.63,119.43,118.43,118.6,118.6,"31,338"
5/11/2021,118.6,118.9,117.85,118.63,118.63,"36,150"
5/10/2021,116.35,118.4,116.1,118.22,118.22,"36,454"
5/7/2021,115.63,117.35,115.63,116.03,116.03,"35,914"
5/6/2021,114.5,115.63,113.4,115.47,115.47,"30,820"
5/5/2021,113.45,114.55,113.1,114.43,114.43,"23,799"
5/4/2021,115.25,115.32,112.57,113.03,113.03,"32,973"
5/3/2021,116.88,116.9,114.75,115.3,115.3,"26,888"
4/30/2021,119.6,119.6,116,116,116,"24,391"
4/29/2021,119.22,119.7,118.8,119.47,119.47,587
4/28/2021,118.95,120.03,118.5,118.95,118.95,"1,007"
4/27/2021,118.8,119.6,118.32,118.38,118.38,739
4/26/2021,117.97,118.78,116.85,118.5,118.5,"1,133"
4/23/2021,118.53,118.82,117.43,117.85,117.85,846
4/22/2021,119.78,119.78,117.4,118.32,118.32,"1,482"
4/21/2021,120.75,120.78,119.15,119.78,119.78,"1,950"
4/20/2021,120.4,121.07,119.75,120.57,120.57,"1,673"
4/19/2021,121.03,121.22,119.5,120.35,120.35,"1,387"
4/16/2021,122,122,120.7,120.85,120.85,"1,428"
4/15/2021,122.35,122.35,120.63,121.6,121.6,"2,223"
