date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD
1986-09-01,AUS,AUD,Australia,1.75,1.64,1.06707317073171,-0.333079268292683
1986-09-01,GBR,GBP,Britain,1.1,0.67,1.64179104477612,0.0261194029850746
1986-09-01,CAN,CAD,Canada,1.89,1.39,1.35971223021583,-0.150179856115108
1986-09-01,JPN,JPY,Japan,370,154,2.4025974025974,0.501623376623377
1986-09-01,SGP,SGD,Singapore,2.8,2.15,1.30232558139535,-0.186046511627907
1986-09-01,USA,USD,United States,1.6,1,1.6,0
1987-01-01,GBR,GBP,Britain,1.13,0.679245283,1.66361111115732,0.0397569444733263
1987-01-01,NLD,NLG,Netherlands,4.5,2.132075472,2.1106194687277,0.319137167954813
1987-01-01,USA,USD,United States,1.6,1,1.6,0
1988-03-01,AUS,AUD,Australia,1.95,1.36,1.43382352941176,-0.400073837066207
1988-03-01,GBR,GBP,Britain,1.19,0.54,2.2037037037037,-0.0779482411281577
1988-03-01,CAN,CAD,Canada,2.05,1.24,1.65322580645161,-0.308273721149953
1988-03-01,JPN,JPY,Japan,370,124,2.98387096774194,0.248481576461061
1988-03-01,NLD,NLG,Netherlands,4.85,1.86,2.60752688172043,0.0910154316821885
1988-03-01,SGP,SGD,Singapore,2.8,2,1.4,-0.414225941422594
1988-03-01,USA,USD,United States,2.39,1,2.39,0
1989-04-01,AUS,AUD,Australia,2.1,1.24,1.69354838709677,-0.161609709358033
1989-04-01,GBR,GBP,Britain,1.26,0.59,2.13559322033898,0.0572243665044472
1989-04-01,CAN,CAD,Canada,2.15,1.19,1.80672268907563,-0.105582827190282
1989-04-01,JPN,JPY,Japan,370,133,2.78195488721805,0.377205389711903
1989-04-01,NLD,NLG,Netherlands,5.1,2.13,2.3943661971831,0.185329800585692
1989-04-01,SGP,SGD,Singapore,2.8,1.96,1.42857142857143,-0.292786421499293
1989-04-01,USA,USD,United States,2.02,1,2.02,0
1990-04-01,AUS,AUD,Australia,2.3,1.32,1.74242424242424,-0.207988980716253
1990-04-01,GBR,GBP,Britain,1.4,0.61,2.29508196721312,0.0432190760059614
1990-04-01,CAN,CAD,Canada,2.19,1.16,1.88793103448276,-0.141849529780564
1990-04-01,JPN,JPY,Japan,370,159,2.32704402515723,0.0577472841623783
1990-04-01,NLD,NLG,Netherlands,5.25,1.88,2.79255319148936,0.269342359767891
1990-04-01,SGP,SGD,Singapore,2.6,1.88,1.38297872340426,-0.37137330754352
1990-04-01,USA,USD,United States,2.2,1,2.2,0
1991-04-01,AUS,AUD,Australia,2.45,1.27,1.92913385826772,-0.142607174103237
1991-04-01,GBR,GBP,Britain,1.67,0.56,2.98214285714286,0.325396825396825
1991-04-01,CAN,CAD,Canada,2.35,1.15,2.04347826086957,-0.0917874396135266
1991-04-01,JPN,JPY,Japan,380,135,2.81481481481482,0.251028806584362
1991-04-01,NLD,NLG,Netherlands,5.25,1.88,2.79255319148936,0.24113475177305
1991-04-01,SGP,SGD,Singapore,2.8,1.77,1.5819209039548,-0.296924042686755
1991-04-01,USA,USD,United States,2.25,1,2.25,0
1992-04-01,AUS,AUD,Australia,2.54,1.31,1.93893129770992,-0.114643243054829
1992-04-01,GBR,GBP,Britain,1.74,0.57,3.05263157894737,0.393895698149483
1992-04-01,CAN,CAD,Canada,2.76,1.19,2.31932773109244,0.0590537584896973
1992-04-01,JPN,JPY,Japan,380,133,2.85714285714286,0.304631441617743
1992-04-01,NLD,NLG,Netherlands,5.35,1.84,2.90760869565217,0.327675203494143
1992-04-01,SGP,SGD,Singapore,4.75,1.65,2.87878787878788,0.31451501314515
1992-04-01,USA,USD,United States,2.19,1,2.19,0
1993-04-01,AUS,AUD,Australia,2.45,1.39,1.76258992805755,-0.22693424208002
1993-04-01,GBR,GBP,Britain,1.79,0.641025641,2.7924000001117,0.224736842154252
1993-04-01,CAN,CAD,Canada,2.76,1.26,2.19047619047619,-0.039264828738513
1993-04-01,JPN,JPY,Japan,391,113,3.46017699115044,0.517621487346685
1993-04-01,MEX,MXN,Mexico,7.9,3.1,2.54838709677419,0.11771363893605
1993-04-01,NLD,NLG,Netherlands,5.45,1.77,3.07909604519774,0.350480721577956
1993-04-01,USA,USD,United States,2.28,1,2.28,0
1994-04-01,AUS,AUD,Australia,2.45,1.42,1.72535211267606,-0.249846907532149
1994-04-01,GBR,GBP,Britain,1.81,0.684931507,2.64259999941863,0.14895652148636
1994-04-01,CAN,CAD,Canada,2.86,1.39,2.05755395683453,-0.105411323115421
1994-04-01,GRC,GRD,Greece,620,251,2.47011952191235,0.0739650095271089
1994-04-01,JPN,JPY,Japan,391,104,3.75961538461538,0.634615384615384
1994-04-01,MEX,MXN,Mexico,8.1,3.36,2.41071428571429,0.0481366459627328
1994-04-01,NLD,NLG,Netherlands,5.45,1.91,2.85340314136126,0.240610061461416
1994-04-01,SGP,SGD,Singapore,2.98,1.57,1.89808917197452,-0.174743838271947
1994-04-01,USA,USD,United States,2.3,1,2.3,0
1995-04-01,AUS,AUD,Australia,2.45,1.35,1.81481481481482,-0.217752234993614
1995-04-01,GBR,GBP,Britain,1.74,0.621118012,2.80140000190495,0.2075000008211
1995-04-01,CAN,CAD,Canada,2.77,1.39,1.99280575539568,-0.141032001984619
1995-04-01,ISR,ILS,Israel,8.9,2.95,3.01694915254237,0.300409117475161
1995-04-01,JPN,JPY,Japan,391,84.2,4.6437054631829,1.00159718240642
1995-04-01,MEX,MXN,Mexico,10.9,6.37,1.71114599686028,-0.262437070318844
1995-04-01,NLD,NLG,Netherlands,5.45,1.55,3.51612903225806,0.515572858731924
1995-04-01,SGP,SGD,Singapore,2.95,1.4,2.10714285714286,-0.0917487684729064
1995-04-01,USA,USD,United States,2.32,1,2.32,0
1996-04-01,AUS,AUD,Australia,2.5,1.27,1.96850393700787,-0.165888162284799
1996-04-01,GBR,GBP,Britain,1.79,0.662251656,2.70289999848638,0.145296609528125
1996-04-01,CAN,CAD,Canada,2.86,1.36,2.10294117647059,-0.108923230309073
1996-04-01,ISR,ILS,Israel,9.5,3.17,2.99684542586751,0.26984975672352
1996-04-01,JPN,JPY,Japan,288,107,2.69158878504673,0.140503722477427
1996-04-01,MEX,MXN,Mexico,14.9,7.37,2.02170963364993,-0.143343375572063
1996-04-01,NLD,NLG,Netherlands,5.45,1.7,3.20588235294118,0.358424725822532
1996-04-01,SGP,SGD,Singapore,3.05,1.41,2.16312056737589,-0.0834234884000479
1996-04-01,ZAF,ZAR,South Africa,7,4.26,1.64319248826291,-0.303731996498767
1996-04-01,USA,USD,United States,2.36,1,2.36,0
1997-04-01,AUS,AUD,Australia,2.5,1.29,1.93798449612403,-0.199179960279326
1997-04-01,GBR,GBP,Britain,1.81,0.613496933,2.95029999766926,0.219132230441844
1997-04-01,CAN,CAD,Canada,2.88,1.39,2.07194244604317,-0.143825435519353
1997-04-01,ISR,ILS,Israel,11.5,3.38,3.40236686390533,0.405936720622035
