date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD,CNY,adj_close
1986-09-01,USA,USD,United States,1.6,1,1.6,0,,
1987-01-01,USA,USD,United States,1.6,1,1.6,0,,
1988-03-01,USA,USD,United States,2.39,1,2.39,0,,
1989-04-01,USA,USD,United States,2.02,1,2.02,0,,
1990-04-01,USA,USD,United States,2.2,1,2.2,0,,
1991-04-01,USA,USD,United States,2.25,1,2.25,0,,
1992-04-01,ARG,ARS,Argentina,3.3,0.99,3.33333333333333,0.52207,1.87831,
1992-04-01,CHN,CNY,China,6.3,5.44,1.15808823529412,-0.47119,0,
1992-04-01,USA,USD,United States,2.19,1,2.19,0,0.89105,
1993-04-01,ARG,ARS,Argentina,3.6,1,3.6,0.57895,1.40565,
1993-04-01,CHN,CNY,China,8.5,5.68,1.49647887323944,-0.34365,0,
1993-04-01,USA,USD,United States,2.28,1,2.28,0,0.52358,
1994-04-01,ARG,ARS,Argentina,3.6,1,3.6,0.56522,2.48,
1994-04-01,CHN,CNY,China,9,8.7,1.03448275862069,-0.55022,0,
1994-04-01,USA,USD,United States,2.3,1,2.3,0,1.22333,
1995-04-01,ARG,ARS,Argentina,3,1,3,0.2931,1.84667,
1995-04-01,CHN,CNY,China,9,8.54,1.05386416861827,-0.54575,0,
1995-04-01,IDN,IDR,Indonesia,3900,2231,1.74809502465262,-0.24651,0.65875,
1995-04-01,USA,USD,United States,2.32,1,2.32,0,1.20142,
1996-04-01,ARG,ARS,Argentina,3,1,3,0.27119,1.60937,
1996-04-01,CHN,CNY,China,9.6,8.35,1.1497005988024,-0.51284,0,
1996-04-01,USA,USD,United States,2.36,1,2.36,0,1.05271,
1997-04-01,ARG,ARS,Argentina,2.5,1,2.5,0.03306,1.14691,
1997-04-01,CHN,CNY,China,9.7,8.33,1.16446578631453,-0.51882,0,
1997-04-01,USA,USD,United States,2.42,1,2.42,0,1.07821,
1998-04-01,ARG,ARS,Argentina,2.5,1,2.5,-0.02344,1.09091,
1998-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,-0.53295,0,
1998-04-01,IDN,IDR,Indonesia,9900,8500,1.16470588235294,-0.54504,-0.02588,
1998-04-01,USA,USD,United States,2.56,1,2.56,0,1.14109,
1999-03-01,ARG,ARS,Argentina,2.5,1,2.5,0.02881,1.09091,
1999-03-01,CHN,CNY,China,9.9,8.28,1.19565217391304,-0.50796,0,
1999-03-01,IDN,IDR,Indonesia,14500,8725,1.66189111747851,-0.31609,0.38995,
1999-03-01,USA,USD,United States,2.43,1,2.43,0,1.03236,
2000-04-01,ARG,ARS,Argentina,2.5,1,2.5,-0.00398,1.09091,
2000-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,-0.52364,0,
2000-04-01,IDN,IDR,Indonesia,14500,7945,1.82504719949654,-0.27289,0.5264,
2000-04-01,USA,USD,United States,2.51,1,2.51,0,1.09927,
2001-04-01,ARG,ARS,Argentina,2.5,1,2.5,-0.01575,1.09091,
2001-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,-0.52927,0,
2001-04-01,IDN,IDR,Indonesia,14700,10855,1.35421464762782,-0.46684,0.13262,
2001-04-01,USA,USD,United States,2.54,1,2.54,0,1.12436,
2002-04-01,ARG,ARS,Argentina,2.5,3.13,0.798722044728435,-0.67923,-0.37015,71.93
2002-04-01,CHN,CNY,China,10.5,8.28,1.26811594202899,-0.49072,0,71.93
2002-04-01,IDN,IDR,Indonesia,16000,9430,1.69671261930011,-0.31859,0.33798,71.93
2002-04-01,USA,USD,United States,2.49,1,2.49,0,0.96354,71.93
2003-04-01,ARG,ARS,Argentina,4.1,2.88,1.42361111111111,-0.47468,0.19066,76.22
2003-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,-0.5588,0,76.22
2003-04-01,IDN,IDR,Indonesia,16100,8740,1.84210526315789,-0.32026,0.54067,76.22
2003-04-01,USA,USD,United States,2.71,1,2.71,0,1.26655,76.22
2004-05-01,ARG,ARS,Argentina,4.36,2.95,1.47796610169492,-0.49036,0.17669,85.3
2004-05-01,CHN,CNY,China,10.4,8.28,1.256038647343,-0.56688,0,85.3
2004-05-01,IDN,IDR,Indonesia,16100,9120,1.76535087719298,-0.39126,0.40549,85.3
2004-05-01,USA,USD,United States,2.9,1,2.9,0,1.30885,85.3
2005-06-01,ARG,ARS,Argentina,4.75,2.897,1.6396272005523,-0.46417,0.2924,84.45
2005-06-01,CHN,CNY,China,10.5,8.2764,1.26866753661012,-0.5854,0,84.45
2005-06-01,IDN,IDR,Indonesia,14600,9545,1.5295966474594,-0.50013,0.20567,84.45
2005-06-01,USA,USD,United States,3.06,1,3.06,0,1.41198,84.45
2006-01-01,ARG,ARS,Argentina,4.75,3.0638,1.55036229518898,-0.50782,0.19069,-
2006-01-01,CHN,CNY,China,10.5,8.0641,1.30206718666683,-0.58665,0,-
2006-01-01,IDN,IDR,Indonesia,14600,9460,1.54334038054968,-0.51005,0.1853,-
2006-01-01,USA,USD,United States,3.15,1,3.15,0,1.41923,-
2006-05-01,ARG,ARS,Argentina,7,3.0565,2.29020121053493,-0.26123,0.75059,75.03
2006-05-01,CHN,CNY,China,10.5,8.026,1.30824819337154,-0.57798,0,75.03
2006-05-01,IDN,IDR,Indonesia,14600,9325,1.5656836461126,-0.49494,0.19678,75.03
2006-05-01,USA,USD,United States,3.1,1,3.1,0,1.36958,75.03
2007-01-01,ARG,ARS,Argentina,8.25,3.08875,2.67098340752732,-0.1705,0.88773,-
