date,adj_close
2002-03-04,74.03
2002-03-05,74.35
2002-03-06,74.93
2002-03-07,75.5
2002-03-08,75.5
2002-03-09,75.8
2002-03-10,75.8
2002-03-11,75.8
2002-03-12,75.63
2002-03-13,74.4
2002-03-14,74.4
2002-03-15,73
2002-03-16,72.07
2002-03-17,72.07
2002-03-18,72.07
2002-03-19,71.22
2002-03-20,70.95
2002-03-21,70.53
2002-03-22,69.78
2002-03-23,69.7
2002-03-24,69.7
2002-03-25,69.7
2002-03-26,70.38
2002-03-27,69.9
2002-03-28,70.43
2002-03-29,-
2002-03-30,71.63
2002-03-31,71.63
2002-04-01,71.93
2002-04-02,71.93
2002-04-03,71.63
2002-04-04,70.13
2002-04-05,68.68
2002-04-06,67.68
2002-04-07,67.68
2002-04-08,67.68
2002-04-09,68.93
2002-04-10,67.43
2002-04-11,67
2002-04-12,65.88
2002-04-13,65.22
2002-04-14,65.22
2002-04-15,65.22
2002-04-16,65.47
2002-04-17,66.07
2002-04-18,65.5
2002-04-19,64.1
2002-04-20,64.28
2002-04-21,64.28
2002-04-22,64.28
2002-04-23,64.05
2002-04-24,63.4
2002-04-25,63.8
2002-04-26,65.3
2002-04-27,65.25
2002-04-28,65.25
2002-04-29,65.25
2002-04-30,66.7
2002-05-01,63.22
2002-05-02,62.25
2002-05-03,62.13
2002-05-04,63.63
2002-05-05,63.63
2002-05-06,63.63
2002-05-07,64.18
2002-05-08,63.65
2002-05-09,62.72
2002-05-10,63.05
2002-05-11,63.13
2002-05-12,63.13
2002-05-13,63.13
2002-05-14,62.7
2002-05-15,63.08
2002-05-16,62.72
2002-05-17,61.75
2002-05-18,60.28
2002-05-19,60.28
2002-05-20,60.28
2002-05-21,59.4
2002-05-22,60.13
2002-05-23,61.33
2002-05-24,62.08
2002-05-25,-
2002-05-26,-
2002-05-27,-
2002-05-28,62.83
2002-05-29,62.28
2002-05-30,60.78
2002-05-31,60.47
2002-06-01,61.97
2002-06-02,61.97
2002-06-03,61.97
2002-06-04,61.83
2002-06-05,61.03
2002-06-06,61.42
2002-06-07,60.9
2002-06-08,61.13
2002-06-09,61.13
2002-06-10,61.13
2002-06-11,61.92
2002-06-12,62.58
2002-06-13,62.8
2002-06-14,62.85
2002-06-15,63.75
2002-06-16,63.75
2002-06-17,63.75
2002-06-18,64.18
2002-06-19,64.13
2002-06-20,64.07
2002-06-21,63.72
2002-06-22,63.5
2002-06-23,63.5
2002-06-24,63.5
2002-06-25,64.1
2002-06-26,64.2
2002-06-27,63.92
2002-06-28,63.4
2002-06-29,64.78
2002-06-30,64.78
2002-07-01,64.78
2002-07-02,64.97
2002-07-03,64.47
2002-07-04,-
2002-07-05,64.68
2002-07-06,64.18
2002-07-07,64.18
2002-07-08,64.18
2002-07-09,63.83
2002-07-10,63.85
2002-07-11,65.28
2002-07-12,65.4
2002-07-13,65.85
2002-07-14,65.85
2002-07-15,65.85
2002-07-16,65.35
2002-07-17,65.72
2002-07-18,65.88
2002-07-19,65.7
2002-07-20,65.8
2002-07-21,65.8
2002-07-22,65.8
2002-07-23,64.9
2002-07-24,64.22
2002-07-25,64.95
2002-07-26,64.9
2002-07-27,64.93
2002-07-28,64.93
2002-07-29,64.93
2002-07-30,64.9
2002-07-31,65
2002-08-01,64.45
2002-08-02,64.7
2002-08-03,64.32
2002-08-04,64.32
2002-08-05,64.32
2002-08-06,64.75
2002-08-07,64.63
2002-08-08,64.18
2002-08-09,65.22
2002-08-10,64.53
2002-08-11,64.53
2002-08-12,64.53
2002-08-13,65.3
2002-08-14,65.57
2002-08-15,65.85
2002-08-16,65.97
2002-08-17,66
2002-08-18,66
2002-08-19,66
2002-08-20,65.6
2002-08-21,65.45
2002-08-22,65.85
2002-08-23,65.05
2002-08-24,64.75
2002-08-25,64.75
2002-08-26,64.75
2002-08-27,64.5
2002-08-28,65
2002-08-29,65.18
2002-08-30,64.72
2002-08-31,-
2002-09-01,-
2002-09-02,-
2002-09-03,66.97
2002-09-04,67.05
2002-09-05,68.05
2002-09-06,68.15
2002-09-07,67.97
2002-09-08,67.97
2002-09-09,67.97
2002-09-10,68.55
2002-09-11,69.15
2002-09-12,69.7
2002-09-13,70.25
2002-09-14,69.78
2002-09-15,69.78
2002-09-16,69.78
2002-09-17,69.82
2002-09-18,69.72
2002-09-19,69.78
2002-09-20,69.7
2002-09-21,69.28
2002-09-22,69.28
2002-09-23,69.28
2002-09-24,69.3
2002-09-25,69.4
2002-09-26,68.28
2002-09-27,67.38
2002-09-28,67.4
2002-09-29,67.4
2002-09-30,67.4
2002-10-01,67.32
2002-10-02,67
2002-10-03,67.22
2002-10-04,66.82
2002-10-05,66.53
2002-10-06,66.53
2002-10-07,66.53
2002-10-08,67.43
2002-10-09,67.1
2002-10-10,68.13
2002-10-11,68.47
2002-10-12,68.15
2002-10-13,68.15
2002-10-14,68.15
2002-10-15,68.82
2002-10-16,68.85
2002-10-17,68.45
2002-10-18,68
2002-10-19,68.6
2002-10-20,68.6
2002-10-21,68.6
2002-10-22,69.15
2002-10-23,69.22
2002-10-24,68.78
2002-10-25,69.1
2002-10-26,69.15
2002-10-27,69.15
2002-10-28,69.15
2002-10-29,68.7
2002-10-30,69.38
2002-10-31,68.4
2002-11-01,76.07
2002-11-02,75.82
2002-11-03,75.82
2002-11-04,75.82
2002-11-05,74.78
2002-11-06,75.07
2002-11-07,75.63
2002-11-08,75.78
2002-11-09,76.05
2002-11-10,76.05
2002-11-11,76.05
2002-11-12,75.95
2002-11-13,76.2
2002-11-14,76.18
2002-11-15,75.93
2002-11-16,77.13
2002-11-17,77.13
2002-11-18,77.13
2002-11-19,77.03
2002-11-20,77.13
2002-11-21,77.13
2002-11-22,77.35
2002-11-23,77.72
2002-11-24,77.72
2002-11-25,77.72
2002-11-26,77.88
2002-11-27,78.03
2002-11-28,-
2002-11-29,77.97
2002-11-30,78.4
2002-12-01,78.4
2002-12-02,78.4
2002-12-03,78.2
2002-12-04,78.6
2002-12-05,78.63
2002-12-06,77.4
2002-12-07,77.03
2002-12-08,77.03
2002-12-09,77.03
2002-12-10,77.45
2002-12-11,77.38
2002-12-12,76.88
2002-12-13,77.1
2002-12-14,77.93
2002-12-15,77.93
2002-12-16,77.93
2002-12-17,77.63
2002-12-18,77.25
2002-12-19,77.7
2002-12-20,78.35
2002-12-21,77.97
2002-12-22,77.97
2002-12-23,77.97
2002-12-24,77.97
2002-12-25,-
2002-12-26,77.93
2002-12-27,77.82
2002-12-28,78.03
2002-12-29,78.03
2002-12-30,78.03
2002-12-31,78.9
2003-01-01,-
2003-01-02,79.4
2003-01-03,79.97
2003-01-04,79.63
2003-01-05,79.63
2003-01-06,79.63
2003-01-07,79.68
2003-01-08,79.6
2003-01-09,79.88
2003-01-10,79.85
2003-01-11,79.53
2003-01-12,79.53
2003-01-13,79.53
2003-01-14,79.22
2003-01-15,77.72
2003-01-16,77.85
2003-01-17,77.57
2003-01-18,-
2003-01-19,-
2003-01-20,-
2003-01-21,77.78
2003-01-22,78.55
2003-01-23,78.38
2003-01-24,78.13
2003-01-25,78.35
2003-01-26,78.35
2003-01-27,78.35
2003-01-28,78.35
2003-01-29,79.82
2003-01-30,79.78
2003-01-31,79.97
2003-02-01,79.95
2003-02-02,79.95
2003-02-03,79.95
2003-02-04,79.2
2003-02-05,78.75
2003-02-06,77.78
2003-02-07,77.1
2003-02-08,77.9
2003-02-09,77.9
2003-02-10,77.9
2003-02-11,78.1
2003-02-12,76.6
2003-02-13,75.78
2003-02-14,76.15
2003-02-15,-
2003-02-16,-
2003-02-17,-
2003-02-18,75.88
2003-02-19,76.78
2003-02-20,77.2
2003-02-21,77.55
2003-02-22,77.97
2003-02-23,77.97
2003-02-24,77.97
2003-02-25,77.1
2003-02-26,77.43
2003-02-27,76
2003-02-28,75.82
2003-03-01,74.95
2003-03-02,74.95
2003-03-03,74.95
2003-03-04,75.05
2003-03-05,74.7
2003-03-06,74.6
2003-03-07,74.68
2003-03-08,74.22
2003-03-09,74.22
2003-03-10,74.22
2003-03-11,72.78
2003-03-12,73.15
2003-03-13,74.25
2003-03-14,74.5
2003-03-15,73.35
2003-03-16,73.35
2003-03-17,73.35
2003-03-18,73.8
2003-03-19,74.68
2003-03-20,74.85
2003-03-21,75.35
2003-03-22,75.47
2003-03-23,75.47
2003-03-24,75.47
2003-03-25,75.53
2003-03-26,75.53
2003-03-27,-
2003-03-28,75.6
2003-03-29,75.8
2003-03-30,75.8
2003-03-31,75.8
2003-04-01,76.22
2003-04-02,77.13
2003-04-03,76.88
2003-04-04,76.88
2003-04-05,77.47
2003-04-06,77.47
2003-04-07,77.47
2003-04-08,77.78
2003-04-09,78.07
2003-04-10,77.7
2003-04-11,78.22
2003-04-12,78.13
2003-04-13,78.13
2003-04-14,78.13
2003-04-15,78.4
2003-04-16,77.1
2003-04-17,76.75
2003-04-18,-
2003-04-19,77.13
2003-04-20,77.13
2003-04-21,77.13
2003-04-22,77.18
2003-04-23,77.47
2003-04-24,77.4
2003-04-25,77.8
2003-04-26,78.13
2003-04-27,78.13
2003-04-28,78.13
2003-04-29,78.68
2003-04-30,79.05
2003-05-01,75.2
2003-05-02,75.95
2003-05-03,75.8
2003-05-04,75.8
2003-05-05,75.8
2003-05-06,76.47
2003-05-07,76.3
2003-05-08,76.2
2003-05-09,76.5
2003-05-10,76.35
2003-05-11,76.35
2003-05-12,76.35
2003-05-13,77
2003-05-14,76.88
2003-05-15,76.85
2003-05-16,77.1
2003-05-17,77.05
2003-05-18,77.05
2003-05-19,77.05
2003-05-20,75.55
2003-05-21,75.8
2003-05-22,76.3
2003-05-23,77.1
2003-05-24,-
2003-05-25,-
2003-05-26,-
2003-05-27,78.45
2003-05-28,79.95
2003-05-29,81
2003-05-30,82
2003-05-31,76.82
2003-06-01,76.82
2003-06-02,76.82
2003-06-03,76.05
2003-06-04,75.95
2003-06-05,74.9
2003-06-06,74.53
2003-06-07,74.55
2003-06-08,74.55
2003-06-09,74.55
2003-06-10,75.22
2003-06-11,74.13
2003-06-12,73.4
2003-06-13,73.43
2003-06-14,72.78
2003-06-15,72.78
2003-06-16,72.78
2003-06-17,72.78
2003-06-18,72.32
2003-06-19,71.68
2003-06-20,72.3
2003-06-21,72.4
2003-06-22,72.4
2003-06-23,72.4
2003-06-24,72.5
2003-06-25,73.5
2003-06-26,73.9
2003-06-27,73.47
2003-06-28,73.22
2003-06-29,73.22
2003-06-30,73.22
2003-07-01,72.2
2003-07-02,72.78
2003-07-03,72.5
2003-07-04,-
2003-07-05,73.75
2003-07-06,73.75
2003-07-07,73.75
2003-07-08,73.95
2003-07-09,72.55
2003-07-10,72.32
2003-07-11,72.25
2003-07-12,72
2003-07-13,72
2003-07-14,72
2003-07-15,72.2
2003-07-16,73.7
2003-07-17,74.05
2003-07-18,74.47
2003-07-19,74.8
2003-07-20,74.8
2003-07-21,74.8
2003-07-22,75.3
2003-07-23,76.8
2003-07-24,78.3
2003-07-25,79.35
2003-07-26,79.95
2003-07-27,79.95
2003-07-28,79.95
2003-07-29,79.53
2003-07-30,79.78
2003-07-31,78.85
2003-08-01,79.22
2003-08-02,78.78
2003-08-03,78.78
2003-08-04,78.78
2003-08-05,78
2003-08-06,77.97
2003-08-07,76.88
2003-08-08,77.43
2003-08-09,77
2003-08-10,77
2003-08-11,77
2003-08-12,77.72
2003-08-13,77.88
2003-08-14,77.72
2003-08-15,77.68
2003-08-16,78.45
2003-08-17,78.45
2003-08-18,78.45
2003-08-19,78.72
2003-08-20,80.22
2003-08-21,81.72
2003-08-22,83.22
2003-08-23,82.07
2003-08-24,82.07
2003-08-25,82.07
2003-08-26,82.55
2003-08-27,84.05
2003-08-28,84.05
2003-08-29,84.35
2003-08-30,-
2003-08-31,-
2003-09-01,-
2003-09-02,84.8
2003-09-03,86.3
2003-09-04,86.3
2003-09-05,86.45
2003-09-06,87.85
2003-09-07,87.85
2003-09-08,87.85
2003-09-09,89.25
2003-09-10,89.5
2003-09-11,90.65
2003-09-12,89.7
2003-09-13,89.25
2003-09-14,89.25
2003-09-15,89.25
2003-09-16,89.25
2003-09-17,90.4
2003-09-18,90.85
2003-09-19,90.5
2003-09-20,90.4
2003-09-21,90.4
2003-09-22,90.4
2003-09-23,91.3
2003-09-24,91.2
2003-09-25,91.8
2003-09-26,91.5
2003-09-27,91.5
2003-09-28,91.5
2003-09-29,91.5
2003-09-30,90
2003-10-01,88.9
2003-10-02,89.5
2003-10-03,89.82
2003-10-04,91.32
2003-10-05,91.32
2003-10-06,91.32
2003-10-07,92.82
2003-10-08,94.32
2003-10-09,95.82
2003-10-10,97.32
2003-10-11,98.82
2003-10-12,98.82
2003-10-13,98.82
2003-10-14,100.32
2003-10-15,102.93
2003-10-16,99.93
2003-10-17,99.35
2003-10-18,97.85
2003-10-19,97.85
2003-10-20,97.85
2003-10-21,97.65
2003-10-22,96.15
2003-10-23,97.65
2003-10-24,99.15
2003-10-25,101.7
2003-10-26,101.7
2003-10-27,101.7
2003-10-28,100.2
2003-10-29,101.68
2003-10-30,101.8
2003-10-31,101.75
2003-11-01,97.18
2003-11-02,97.18
2003-11-03,97.18
2003-11-04,97.18
2003-11-05,98.4
2003-11-06,99.9
2003-11-07,101.5
2003-11-08,103
2003-11-09,103
2003-11-10,103
2003-11-11,102.7
2003-11-12,101.2
2003-11-13,100.3
2003-11-14,98.8
2003-11-15,98.2
2003-11-16,98.2
2003-11-17,98.2
2003-11-18,99.7
2003-11-19,98.2
2003-11-20,99.43
2003-11-21,99.95
2003-11-22,100.55
2003-11-23,100.55
2003-11-24,100.55
2003-11-25,100.9
2003-11-26,101.3
2003-11-27,-
2003-11-28,102
2003-11-29,99.03
2003-11-30,99.03
2003-12-01,99.03
2003-12-02,99.57
2003-12-03,98.15
2003-12-04,97.05
2003-12-05,96.57
2003-12-06,97.03
2003-12-07,97.03
2003-12-08,97.03
2003-12-09,95.53
2003-12-10,94.03
2003-12-11,93.57
2003-12-12,93.25
2003-12-13,94.07
2003-12-14,94.07
2003-12-15,94.07
2003-12-16,92.85
2003-12-17,92.68
2003-12-18,91.18
2003-12-19,90.72
2003-12-20,91.68
2003-12-21,91.68
2003-12-22,91.68
2003-12-23,92.35
2003-12-24,90.85
2003-12-25,-
2003-12-26,87.85
2003-12-27,82.85
2003-12-28,82.85
2003-12-29,82.85
2003-12-30,77.95
2003-12-31,77.2
2004-01-01,-
2004-01-02,74.3
2004-01-03,75.4
2004-01-04,75.4
2004-01-05,75.4
2004-01-06,73.95
2004-01-07,75.45
2004-01-08,76.5
2004-01-09,77.8
2004-01-10,77
2004-01-11,77
2004-01-12,77
2004-01-13,77.1
2004-01-14,78.6
2004-01-15,80.1
2004-01-16,82.4
2004-01-17,-
2004-01-18,-
2004-01-19,-
2004-01-20,83.9
2004-01-21,85.4
2004-01-22,88
2004-01-23,86.5
2004-01-24,85
2004-01-25,85
2004-01-26,85
2004-01-27,85.2
2004-01-28,84.1
2004-01-29,82.6
2004-01-30,81.1
2004-01-31,76.53
2004-02-01,76.53
2004-02-02,76.53
2004-02-03,76.32
2004-02-04,74.82
2004-02-05,75.57
2004-02-06,75.45
2004-02-07,75
2004-02-08,75
2004-02-09,75
2004-02-10,73.6
2004-02-11,75.1
2004-02-12,76.05
2004-02-13,76.13
2004-02-14,-
2004-02-15,-
2004-02-16,-
2004-02-17,76.47
2004-02-18,77.15
2004-02-19,77.65
2004-02-20,77.85
2004-02-21,78.57
2004-02-22,78.57
2004-02-23,78.57
2004-02-24,80.22
2004-02-25,81.47
2004-02-26,81.65
2004-02-27,81.5
2004-02-28,79.7
2004-02-29,79.7
2004-03-01,79.7
2004-03-02,79.5
2004-03-03,81
2004-03-04,81.9
2004-03-05,81.45
2004-03-06,81.5
2004-03-07,81.5
2004-03-08,81.5
2004-03-09,82.5
2004-03-10,85.5
2004-03-11,85.45
2004-03-12,85.15
2004-03-13,85.1
2004-03-14,85.1
2004-03-15,85.1
2004-03-16,86.7
2004-03-17,86.95
2004-03-18,86.2
2004-03-19,84.6
2004-03-20,83.1
2004-03-21,83.1
2004-03-22,83.1
2004-03-23,82
2004-03-24,81.7
2004-03-25,81
2004-03-26,81
2004-03-27,82.05
2004-03-28,82.05
2004-03-29,82.05
2004-03-30,83
2004-03-31,84
2004-04-01,79.1
2004-04-02,79.95
2004-04-03,80.82
2004-04-04,80.82
2004-04-05,80.82
2004-04-06,81.4
2004-04-07,81.47
2004-04-08,81.93
2004-04-09,-
2004-04-10,84.22
2004-04-11,84.22
2004-04-12,84.22
2004-04-13,84.6
2004-04-14,85.1
2004-04-15,82.68
2004-04-16,81.8
2004-04-17,82.2
2004-04-18,82.2
2004-04-19,82.2
2004-04-20,83.18
2004-04-21,82.35
2004-04-22,82
2004-04-23,82.82
2004-04-24,83.43
2004-04-25,83.43
2004-04-26,83.43
2004-04-27,84.18
2004-04-28,86.82
2004-04-29,87.65
2004-04-30,88.3
2004-05-01,85.3
2004-05-02,85.3
2004-05-03,85.3
2004-05-04,87.2
2004-05-05,87.15
2004-05-06,87.15
2004-05-07,87.15
2004-05-08,88
2004-05-09,88
2004-05-10,88
2004-05-11,87.9
2004-05-12,87.9
2004-05-13,86
2004-05-14,86
2004-05-15,86
2004-05-16,86
2004-05-17,86
2004-05-18,86
2004-05-19,86
2004-05-20,86
2004-05-21,86
2004-05-22,86
2004-05-23,86
2004-05-24,86
2004-05-25,86
2004-05-26,86
2004-05-27,88.25
2004-05-28,89.25
2004-05-29,-
2004-05-30,-
2004-05-31,-
2004-06-01,86.65
2004-06-02,89.2
2004-06-03,89.68
2004-06-04,90.5
2004-06-05,91.2
2004-06-06,91.2
2004-06-07,91.2
2004-06-08,89.65
2004-06-09,89.47
2004-06-10,86.75
2004-06-11,86.75
2004-06-12,85.32
2004-06-13,85.32
2004-06-14,85.32
2004-06-15,84.75
2004-06-16,85
2004-06-17,85.7
2004-06-18,86.55
2004-06-19,87
2004-06-20,87
2004-06-21,87
2004-06-22,86.65
2004-06-23,88.57
2004-06-24,90
2004-06-25,89.6
2004-06-26,87.1
2004-06-27,87.1
2004-06-28,87.1
2004-06-29,88.8
2004-06-30,87.25
2004-07-01,87.1
2004-07-02,87.1
2004-07-03,-
2004-07-04,-
2004-07-05,-
2004-07-06,88.1
2004-07-07,87.5
2004-07-08,87.5
2004-07-09,87
2004-07-10,86.9
2004-07-11,86.9
2004-07-12,86.9
2004-07-13,86.35
2004-07-14,84.5
2004-07-15,82
2004-07-16,82
2004-07-17,82
2004-07-18,82
2004-07-19,82
2004-07-20,82
2004-07-21,82
2004-07-22,85
2004-07-23,85
2004-07-24,85
2004-07-25,85
2004-07-26,85
2004-07-27,85
2004-07-28,86
2004-07-29,86
2004-07-30,86
2004-07-31,85.25
2004-08-01,85.25
2004-08-02,85.25
2004-08-03,83.07
2004-08-04,84.82
2004-08-05,84.55
2004-08-06,84.55
2004-08-07,85.82
2004-08-08,85.82
2004-08-09,85.82
2004-08-10,85.38
2004-08-11,84.47
2004-08-12,85.1
2004-08-13,87.55
2004-08-14,87.32
2004-08-15,87.32
2004-08-16,87.32
2004-08-17,87.22
2004-08-18,87.18
2004-08-19,85.4
2004-08-20,85.03
2004-08-21,84.8
2004-08-22,84.8
2004-08-23,84.8
2004-08-24,83.6
2004-08-25,83.13
2004-08-26,82.82
2004-08-27,82.88
2004-08-28,84.13
2004-08-29,84.13
2004-08-30,84.13
2004-08-31,84.22
2004-09-01,84.5
2004-09-02,84.5
2004-09-03,82.7
2004-09-04,-
2004-09-05,-
2004-09-06,-
2004-09-07,82.7
2004-09-08,82.5
2004-09-09,82
2004-09-10,82
2004-09-11,83
2004-09-12,83
2004-09-13,83
2004-09-14,84
2004-09-15,84.5
2004-09-16,84.5
2004-09-17,84.5
2004-09-18,84.5
2004-09-19,84.5
2004-09-20,84.5
2004-09-21,84.5
2004-09-22,84.5
2004-09-23,84.5
2004-09-24,84.5
2004-09-25,84.5
2004-09-26,84.5
2004-09-27,84.5
2004-09-28,84.5
2004-09-29,84.5
2004-09-30,84.5
2004-10-01,85.88
2004-10-02,85.82
2004-10-03,85.82
2004-10-04,85.82
2004-10-05,86.18
2004-10-06,86.22
2004-10-07,85.45
2004-10-08,86.22
2004-10-09,86.4
2004-10-10,86.4
2004-10-11,86.4
2004-10-12,86.78
2004-10-13,86.05
2004-10-14,86.25
2004-10-15,86.93
2004-10-16,87.63
2004-10-17,87.63
2004-10-18,87.63
2004-10-19,87.85
2004-10-20,86.5
2004-10-21,86.7
2004-10-22,87.75
2004-10-23,87.38
2004-10-24,87.38
2004-10-25,87.38
2004-10-26,87.63
2004-10-27,87.35
2004-10-28,86.78
2004-10-29,87.85
2004-10-30,86
2004-10-31,86
2004-11-01,86
2004-11-02,85.75
2004-11-03,85.75
2004-11-04,85.75
2004-11-05,85.75
2004-11-06,85.75
2004-11-07,85.75
2004-11-08,85.75
2004-11-09,84
2004-11-10,84
2004-11-11,84
2004-11-12,84
2004-11-13,84
2004-11-14,84
2004-11-15,84
2004-11-16,84
2004-11-17,84
2004-11-18,84
2004-11-19,84
2004-11-20,84
2004-11-21,84
2004-11-22,84
2004-11-23,85
2004-11-24,85
2004-11-25,-
2004-11-26,-
2004-11-27,85
2004-11-28,85
2004-11-29,85
2004-11-30,85
2004-12-01,89.18
2004-12-02,88.13
2004-12-03,87.3
2004-12-04,87.47
2004-12-05,87.47
2004-12-06,87.47
2004-12-07,86.4
2004-12-08,87.05
2004-12-09,85.4
2004-12-10,85.5
2004-12-11,86.2
2004-12-12,86.2
2004-12-13,86.2
2004-12-14,85.18
2004-12-15,86
2004-12-16,86.6
2004-12-17,88.35
2004-12-18,88.57
2004-12-19,88.57
2004-12-20,88.57
2004-12-21,89.7
2004-12-22,91.07
2004-12-23,92.35
2004-12-24,-
2004-12-25,92.53
2004-12-26,92.53
2004-12-27,92.53
2004-12-28,92
2004-12-29,90.07
2004-12-30,89.85
2004-12-31,-
2005-01-01,-
2005-01-02,-
2005-01-03,-
2005-01-04,-
2005-01-05,92.25
2005-01-06,92
2005-01-07,90.75
2005-01-08,92
2005-01-09,92
2005-01-10,92
2005-01-11,93
2005-01-12,93
2005-01-13,93
2005-01-14,93
2005-01-15,-
2005-01-16,-
2005-01-17,-
2005-01-18,93
2005-01-19,93
2005-01-20,93
2005-01-21,92.5
2005-01-22,91.5
2005-01-23,91.5
2005-01-24,91.5
2005-01-25,91.5
2005-01-26,91
2005-01-27,91
2005-01-28,91
2005-01-29,91
2005-01-30,91
2005-01-31,91
2005-02-01,90.78
2005-02-02,90.7
2005-02-03,91
2005-02-04,90.93
2005-02-05,91.3
2005-02-06,91.3
2005-02-07,91.22
2005-02-08,92.13
2005-02-09,91.68
2005-02-10,89.75
2005-02-11,90.1
2005-02-12,90.15
2005-02-13,90.15
2005-02-14,90.4
2005-02-15,90.2
2005-02-16,90.5
2005-02-17,90.5
2005-02-18,88.95
2005-02-19,-
2005-02-20,-
2005-02-21,-
2005-02-22,88.3
2005-02-23,88.07
2005-02-24,88.18
2005-02-25,87.82
2005-02-26,87.22
2005-02-27,87.22
2005-02-28,87.22
2005-03-01,87.35
2005-03-02,87.35
2005-03-03,87.35
2005-03-04,87.55
2005-03-05,88
2005-03-06,88
2005-03-07,88
2005-03-08,88
2005-03-09,88
2005-03-10,88
2005-03-11,88.25
2005-03-12,89.75
2005-03-13,89.75
2005-03-14,89.75
2005-03-15,89.9
